Job ID,Job Title,Employment Type,Location,Posted Date,Modified Date,Company Name
75983432-5697-4351-a065-e05494237222,SIEM/SOAR Sentinel Engineer,Full-time,"Washington, District of Columbia, USA",Posted 12 hours ago,- Updated moments ago,Bering Straits Native Corporation
75a9fb3f-929f-4792-acff-1e15001a515a,Cyber Security SOC Manager,Full-time,"Washington, District of Columbia, USA",Posted 12 hours ago,- Updated moments ago,Bering Straits Native Corporation
31c44983-d5cf-498b-8e46-2d9586d0dc5b,Azure Administrator/Engineer,Full-time,"Washington, District of Columbia, USA",Posted 12 hours ago,- Updated moments ago,Bering Straits Native Corporation
252da4e6-5795-44f7-bd0d-aebee22cdf96,Network Engineer III,Full-time,"Greenwood Village, Colorado, USA",Posted 2 hours ago,- Updated moments ago,SPECTRUM
91ab1ddc-0989-488a-b37a-17ba72f1caf7,Quality Assurance Engineer,Full-time,"Tucson, Arizona, USA",Posted 9 hours ago,- Updated moments ago,Arete
efa79da1-770b-4315-974c-a3a19fd59b81,Science/Engineering Aide,Full-time,"Los Angeles, California, USA",Posted 10 hours ago,- Updated moments ago,Arete
1239cd8b-e817-4f7c-b3c0-7197886cd621,Scientist,Full-time,"Los Angeles, California, USA",Posted 10 hours ago,- Updated 1 hour ago,Arete
af580089-966a-49ad-a50d-302a19bfd6fc,IT Systems Administrator III,Full-time,"Los Angeles, California, USA",Posted 10 hours ago,- Updated 1 hour ago,Arete
ed4f264e-1282-4bb3-8e6a-9fd5d38d68f8,IT Systems Administrator,Full-time,"Arlington, Virginia, USA",Posted 11 hours ago,- Updated moments ago,Arete
ed41cbb7-3bcb-4fcd-bc21-b31ba0e48532,Principal Project Scheduler,Full-time,"Tucson, Arizona, USA",Posted 11 hours ago,- Updated moments ago,Arete
677d6e7a-a977-4f37-9b38-8cd80296929d,Network Engineer IV,Full-time,"Englewood, Colorado, USA",Posted 11 hours ago,- Updated 2 hours ago,SPECTRUM
65039777-807b-401f-af0b-b24a97120c78,Security Engineer III,Full-time,"Greenwood Village, Colorado, USA",Posted 11 hours ago,- Updated 2 hours ago,SPECTRUM
29bbb568-01ce-4afa-a409-4ae28905daef,RedHat OpenShift Principal Engineer I,Full-time,"Greenwood Village, Colorado, USA",Posted 11 hours ago,- Updated 2 hours ago,SPECTRUM
91deccc0-eb5d-4b09-8ac2-7cae0c4a29e7,Principal Electrical Engineer,Full-time,"Los Angeles, California, USA",Posted 3 days ago,- Updated moments ago,Arete
a5988263-8eb3-4f63-96bd-12c602a52326,Vulnerability Analyst,Full-time,"Falls Church, Virginia, USA",Posted 3 days ago,- Updated moments ago,Arete
04411005-1025-46aa-8c3b-93da07dd3487,Jurisdictional Consultant II,Full-time,"Suisun City, California, USA",Posted 4 days ago,- Updated 2 hours ago,FM Global
4cb73f21-43e4-411d-a0c9-1735a1974324,"Director of Development, Humanities",Full-time,"Los Angeles, California, USA",Posted 5 days ago,- Updated 1 hour ago,University of California Los Angeles
bcede073-4df4-4bc2-88a0-c99df06802ec,Software Engineer III - Scala,Full-time,"Greenwood Village, Colorado, USA",Posted 3 days ago,- Updated 2 hours ago,SPECTRUM
fb057079-df18-4a45-993d-e9b7663c24a3,Principal Software Engineer I,Full-time,"Greenwood Village, Colorado, USA",Posted 5 days ago,- Updated 2 hours ago,SPECTRUM
69aceeff-56a5-4849-b977-58c41aceb599,System Engineer III - WiFi Operations,Full-time,"Greenwood Village, Colorado, USA",Posted 3 days ago,- Updated 2 hours ago,SPECTRUM
13281a19-9c4e-4296-b912-7190a1978ff8,Transportation Technical Design Manager,Full-time,"Charlotte, North Carolina, USA",Posted 9 hours ago,- Updated moments ago,GPI
4f7a7c9e-e1d9-4807-ad4b-68bed0df2336,"Principal Engineer, Reagent Engineering",Full-time,"Hazelwood, Missouri, USA",Posted 10 hours ago,- Updated moments ago,bioMerieux
08032a31-418c-47b0-b36c-6a4fd5adcd3b,Maintenance and HVAC Specialist,Full-time,"Columbus, Ohio, USA",Posted 11 hours ago,- Updated moments ago,Harrison on 5th by Senior Star Management Company
